,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,1561827771,-42.78,147.06,55.99,62,75,17.22
1,Butaritari,KI,1561827563,3.07,172.79,83.18,67,90,1.16
2,Hobart,AU,1561827548,-42.88,147.33,57.0,62,75,17.22
3,Rocha,UY,1561827603,-34.48,-54.34,63.5,92,94,2.46
4,Jamestown,AU,1561827773,-33.21,138.6,41.62,93,0,4.59
5,Okhotsk,RU,1561827773,59.36,143.24,48.73,90,11,2.53
6,San Roque,CO,1561827774,6.49,-75.02,80.6,49,75,9.17
7,Qaqortoq,GL,1561827774,60.72,-46.03,51.8,57,75,5.82
8,Bethel,US,1561827631,60.79,-161.76,60.8,77,90,5.82
9,Ushuaia,AR,1561827775,-54.81,-68.31,35.6,85,40,13.87
10,Trat,TH,1561827775,12.25,102.51,87.01,85,99,2.64
11,Cape Town,ZA,1561827547,-33.93,18.42,60.01,62,75,12.75
12,Harper,US,1561827776,30.3,-99.24,88.0,48,1,6.24
13,Launceston,AU,1561827776,-41.43,147.14,48.0,93,75,25.28
14,Upernavik,GL,1561827777,72.79,-56.15,39.53,75,0,9.64
15,Ribeira Grande,PT,1561827777,38.52,-28.7,69.8,73,20,8.05
16,Portland,US,1561827531,43.66,-70.25,81.0,47,40,8.05
17,Mairana,BO,1561827778,-18.12,-63.96,74.16,59,39,8.21
18,Mahebourg,MU,1561827779,-20.41,57.7,71.6,53,40,14.99
19,Kavieng,PG,1561827779,-2.57,150.8,81.68,77,22,6.08
20,Qufu,CN,1561827779,35.6,116.99,79.56,52,100,2.17
21,Xuddur,SO,1561827780,4.12,43.89,79.34,50,15,16.4
22,Katobu,ID,1561827780,-4.94,122.53,70.09,91,100,3.18
23,Hermanus,ZA,1561827781,-34.42,19.24,62.01,59,90,4.0
24,Punta Arenas,CL,1561827600,-53.16,-70.91,35.6,80,0,14.99
25,Henties Bay,NA,1561827782,-22.12,14.28,54.0,93,4,3.0
26,Bluff,AU,1561827783,-23.58,149.07,58.27,84,30,5.88
27,Ahipara,NZ,1561827783,-35.17,173.16,58.3,69,0,16.8
28,Souillac,FR,1561827570,45.6,-0.6,89.6,62,0,14.99
29,Khatanga,RU,1561827587,71.98,102.47,58.14,74,100,6.46
30,Aviles,ES,1561827784,43.55,-5.92,68.0,82,75,3.36
31,Victoria,BN,1561827699,5.28,115.24,84.2,88,75,1.39
32,Camacupa,AO,1561827785,-12.02,17.48,61.45,36,0,2.77
33,Tasiilaq,GL,1561827786,65.61,-37.64,50.0,46,90,12.75
34,Avarua,CK,1561827786,-21.21,-159.78,69.8,56,7,6.93
35,Castro,CL,1561827787,-42.48,-73.76,37.4,86,20,5.82
36,Hilo,US,1561827787,19.71,-155.08,73.4,88,90,3.36
37,Westport,US,1561827571,41.14,-73.36,91.0,66,75,5.82
38,Grahamstown,ZA,1561827788,-33.31,26.53,55.99,83,8,5.01
39,Meulaboh,ID,1561827572,4.14,96.13,83.21,76,97,6.98
40,Albany,US,1561827789,42.65,-73.75,82.0,69,75,3.36
41,Chuy,UY,1561827588,-33.69,-53.46,63.79,93,88,2.8
42,Sorong,ID,1561827790,-0.86,131.25,74.39,96,89,6.42
43,Saint-Denis,FR,1561827790,48.94,2.36,96.01,32,0,9.17
44,Qaanaaq,GL,1561827791,77.48,-69.36,50.42,45,0,1.99
45,Lishui,CN,1561827791,28.45,119.91,74.81,95,100,1.57
46,Esperance,AU,1561827654,-33.86,121.89,50.0,71,100,18.34
47,Bamnet Narong,TH,1561827591,15.5,101.69,75.71,89,70,8.41
48,Port Elizabeth,US,1561827792,39.31,-74.98,95.0,43,20,11.41
49,Rikitea,PF,1561827792,-23.12,-134.97,70.76,69,100,11.74
50,Komsomolskiy,RU,1561827793,67.55,63.78,59.92,52,88,12.44
51,Alta Floresta,BR,1561827793,-9.87,-56.08,93.2,34,0,9.17
52,Baykit,RU,1561827794,61.68,96.39,66.64,52,6,3.96
53,Vaini,IN,1561827794,15.34,74.49,77.98,86,100,8.77
54,Vao,EE,1561827795,59.1,26.19,61.06,69,48,14.43
55,Kapaa,US,1561827795,22.08,-159.32,78.8,83,40,9.17
56,Puerto Ayora,EC,1561827796,-0.74,-90.35,77.0,69,75,12.75
57,Bell Ville,AR,1561827796,-32.63,-62.69,59.24,66,93,13.11
58,Mataura,NZ,1561827797,-46.19,168.86,46.0,78,100,3.0
59,Bathsheba,BB,1561827602,13.22,-59.52,87.8,62,20,27.51
60,Narsaq,GL,1561827798,60.91,-46.05,51.8,57,75,5.82
61,Hami,CN,1561827798,42.84,93.51,83.02,14,43,3.0
62,Chokurdakh,RU,1561827547,70.62,147.9,41.8,79,32,7.74
63,Pyatnitskoye,RU,1561827799,54.34,35.89,55.4,87,90,4.47
64,El Alto,BO,1561827799,-16.5,-68.19,57.2,34,40,5.82
65,Rio Bueno,JM,1561827800,18.47,-77.46,91.4,59,20,25.28
66,Bingol,TR,1561827800,38.88,40.49,65.97,53,29,8.81
67,Te Anau,NZ,1561827800,-45.41,167.72,47.29,84,95,3.85
68,Nanortalik,GL,1561827801,60.14,-45.24,36.77,91,92,9.31
69,Moree,AU,1561827801,-29.46,149.84,55.0,76,40,8.05
70,Port Lincoln,AU,1561827802,-34.72,135.86,55.89,65,81,20.71
71,Warrnambool,AU,1561827638,-38.38,142.48,46.99,90,57,4.0
72,Salina Cruz,MX,1561827803,16.18,-95.2,93.29,44,3,9.69
73,Klaksvik,FO,1561827803,62.23,-6.59,51.8,100,90,5.82
74,Saskylakh,RU,1561827803,71.97,114.09,53.59,53,79,18.45
75,Tabas,IR,1561827804,33.6,56.92,105.8,11,13,4.7
76,Hithadhoo,MV,1561827804,-0.6,73.08,81.88,77,100,4.34
77,Atuona,PF,1561827805,-9.8,-139.03,81.11,75,83,18.28
78,Hasaki,JP,1561827806,35.73,140.83,68.0,100,75,2.24
79,Sirjan,IR,1561827806,29.44,55.67,84.13,13,6,9.95
